id,_ptype,_ltype,price,kabkoId,bedRooms,bathRooms,landSize,buildingSize,garages,sold
100831947664.0,house,sale,1520577776.0,618.0,3.0,3.0,135.0,106.0,0.0,no
147792216196.0,house,sale,488881472.0,618.0,2.0,2.0,45.0,76.0,0.0,no
111421382679.0,,sale,1920976938.0,618.0,2.0,1.0,219.0,51.0,0.0,no
67525408163.0,house,sale,1560665463.0,618.0,3.0,3.0,97.0,112.0,0.0,no
,house,sale,3600812611.0,618.0,3.0,2.0,439.0,216.0,0.0,no
103847880509.0,house,sale,3665366556.0,608.0,4.0,4.0,173.0,197.0,,
2086552074082.0,,rent,36436209.0,608.0,1.0,1.0,0.0,27.0,0.0,no
23005956258.0,house,sale,,618.0,2.0,1.0,67.0,59.0,0.0,no
140136662720.0,house,sale,480173656.0,618.0,3.0,2.0,51.0,42.0,0.0,no
128576562088.0,house,sale,2800829384.0,608.0,4.0,3.0,187.0,123.0,1.0,no
76599809306.0,,sale,480493928.0,,3.0,2.0,51.0,37.0,0.0,no
13609279375799.0,house,sale,1440564323.0,618.0,3.0,2.0,170.0,127.0,1.0,
4004752680087.0,house,sale,368655149.0,608.0,2.0,1.0,69.0,37.0,0.0,
135931708968.0,house,rent,52315668.0,618.0,5.0,5.0,170.0,153.0,0.0,no
113227596551.0,house,sale,1360845299.0,608.0,,3.0,63.0,89.0,0.0,no
39345557015.0,house,sale,880395692.0,618.0,2.0,2.0,51.0,58.0,0.0,yes
123810372591.0,house,sale,460934193.0,618.0,3.0,1.0,63.0,42.0,0.0,yes
13332009308231.0,house,sale,1120933402.0,618.0,2.0,2.0,91.0,58.0,0.0,no
155410062107.0,house,sale,6400392994.0,618.0,5.0,5.0,357.0,375.0,0.0,no
5958918983887.0,house,sale,760139821.0,608.0,2.0,1.0,0.0,75.0,1.0,no
49532965348.0,house,sale,3918913571.0,608.0,3.0,3.0,121.0,135.0,1.0,no
151390457337.0,house,sale,480407564.0,618.0,3.0,2.0,51.0,37.0,0.0,no
64532563430.0,house,,1600862849.0,618.0,4.0,4.0,104.0,112.0,0.0,no
38240378465.0,house,sale,3600459695.0,618.0,4.0,3.0,225.0,323.0,1.0,
130077779991.0,house,sale,1000194632.0,608.0,2.0,1.0,51.0,48.0,0.0,
20156536295.0,house,sale,376336925.0,618.0,2.0,1.0,45.0,37.0,1.0,no
169529247816.0,house,sale,480874145.0,618.0,3.0,2.0,47.0,51.0,,no
,house,sale,672907959.0,608.0,3.0,2.0,,60.0,0.0,yes
88923369151.0,house,,1600417482.0,618.0,2.0,2.0,150.0,170.0,0.0,no
144275213143.0,house,sale,7200738409.0,618.0,5.0,4.0,363.0,455.0,2.0,no
79813910150.0,apartment,sale,488312590.0,618.0,1.0,1.0,0.0,25.0,0.0,
34515908234.0,house,,3600100441.0,608.0,3.0,2.0,212.0,340.0,0.0,yes
57260883557.0,,sale,440947128.0,618.0,2.0,1.0,0.0,30.0,0.0,no
175091680590.0,house,sale,1200232260.0,608.0,3.0,2.0,,60.0,0.0,
171486594093.0,house,rent,52467857.0,618.0,5.0,5.0,150.0,153.0,0.0,yes
110702089951.0,apartment,sale,1173090501.0,618.0,3.0,1.0,0.0,,0.0,no
158156783847.0,house,sale,1680224874.0,618.0,3.0,3.0,92.0,127.0,,no
132859973381.0,house,sale,,618.0,3.0,3.0,60.0,204.0,0.0,yes
169528546018.0,house,sale,760509873.0,608.0,3.0,2.0,115.0,85.0,0.0,no
137669151415.0,house,sale,560322083.0,618.0,3.0,2.0,59.0,37.0,0.0,no
18617297482.0,house,sale,7188843909.0,608.0,4.0,4.0,327.0,214.0,1.0,no
152171989295.0,house,sale,1280626532.0,618.0,2.0,1.0,102.0,55.0,1.0,
88435792698.0,house,sale,630963349.0,618.0,3.0,2.0,51.0,42.0,1.0,no
84615028710.0,house,sale,,608.0,3.0,3.0,153.0,208.0,2.0,no
11566631054246.0,house,sale,560621310.0,608.0,,2.0,45.0,48.0,,yes
110689015643.0,apartment,sale,600828599.0,618.0,1.0,1.0,0.0,27.0,0.0,no
157915811877.0,house,sale,4080760249.0,618.0,5.0,4.0,351.0,412.0,2.0,no
104433956112.0,house,sale,1320378253.0,618.0,3.0,2.0,137.0,112.0,0.0,yes
11385062201015.0,house,sale,1000204539.0,618.0,2.0,1.0,90.0,68.0,0.0,no
156909899636.0,house,rent,30706529.0,618.0,5.0,5.0,170.0,174.0,0.0,no
101643975282.0,house,sale,520771425.0,608.0,2.0,1.0,54.0,71.0,0.0,yes
107877709120.0,house,sale,960459143.0,618.0,3.0,2.0,107.0,,0.0,
,house,sale,,608.0,3.0,2.0,63.0,58.0,2.0,no
175861119586.0,house,sale,1760141635.0,618.0,3.0,3.0,127.0,150.0,0.0,no
103405090102.0,house,sale,1920533791.0,618.0,2.0,2.0,121.0,187.0,0.0,no
130525269291.0,house,sale,476845769.0,618.0,3.0,2.0,45.0,37.0,0.0,no
68077168909.0,house,rent,48425812.0,618.0,5.0,5.0,150.0,150.0,0.0,no
143753316686.0,,sale,980999500.0,608.0,3.0,2.0,0.0,4600.0,0.0,no
143449057634.0,apartment,sale,1600460055.0,608.0,,1.0,0.0,56.0,0.0,no
34160667244.0,house,sale,760922099.0,618.0,3.0,2.0,85.0,68.0,0.0,no
101227715906.0,house,sale,415888936.0,618.0,3.0,2.0,37.0,36.0,0.0,yes
36248506546.0,house,sale,4500435578.0,618.0,4.0,4.0,150.0,168.0,1.0,no
42075751698.0,apartment,rent,28532451.0,618.0,2.0,1.0,0.0,32.0,0.0,yes
77804929954.0,house,,8400897358.0,608.0,4.0,4.0,382.0,232.0,2.0,no
9362341785792.0,house,sale,1600276878.0,608.0,3.0,3.0,122.0,90.0,0.0,no
136730783783.0,house,sale,6000374930.0,618.0,,5.0,402.0,312.0,2.0,yes
39412976780.0,apartment,sale,728534871.0,618.0,,1.0,,3483.0,0.0,yes
122925734734.0,house,sale,760699114.0,618.0,3.0,2.0,76.0,67.0,0.0,no
126940329480.0,house,sale,2280531595.0,618.0,3.0,2.0,120.0,85.0,0.0,no
13198690886586.0,house,sale,1200712844.0,608.0,1.0,2.0,67.0,45.0,0.0,
125646514045.0,house,sale,2509533824.0,608.0,,3.0,167.0,93.0,0.0,no
,house,sale,1600861689.0,608.0,3.0,2.0,84.0,69.0,0.0,no
,house,sale,476362230.0,618.0,3.0,3.0,45.0,42.0,0.0,no
120559623238.0,apartment,sale,2850514014.0,608.0,3.0,2.0,0.0,7537.0,0.0,no
168747691051.0,house,rent,44947697.0,618.0,3.0,2.0,136.0,170.0,0.0,
56841426946.0,house,sale,4960222462.0,618.0,4.0,4.0,329.0,190.0,2.0,
